session_id,model,input_tokens,output_tokens,total_tokens
01c897cdd38a4f01936a818fe71f6e0a,ark/deepseek-v3-1,1842,705,2547
01c897cdd38a4f01936a818fe71f6e0a,deepseek-chat,3484,1187,4671
01c897cdd38a4f01936a818fe71f6e0a,gpt-4.1,5404,1409,6813
01c897cdd38a4f01936a818fe71f6e0a,unknown,0,0,0
01ca942988844abc9264ffd33bfeb493,ark/deepseek-v3,758,108,866
01ca942988844abc9264ffd33bfeb493,unknown,0,0,0
01cb35920d80442a84a18854bde357c7,deepseek-chat,801,387,1188
01cb35920d80442a84a18854bde357c7,unknown,0,0,0
01cc0aba519e49808a9b592c711f6bbf,deepseek-chat,1055,408,1463
01cc0aba519e49808a9b592c711f6bbf,gpt-4.1,941,28,969
01cc0aba519e49808a9b592c711f6bbf,unknown,0,0,0
01d3688636cb415caee1ac97ac1bc52f,deepseek-chat,3841,1361,5202
01d3688636cb415caee1ac97ac1bc52f,gpt-4.1,2566,986,3552
01d3688636cb415caee1ac97ac1bc52f,unknown,0,0,0
01d8715c6ca54e82b2524ee586d9e68a,deepseek-chat,2648,1133,3781
01d8715c6ca54e82b2524ee586d9e68a,unknown,0,0,0
01e2b99079f54bbb92fb58615782e96a,unknown,0,0,0
01e62a23f13241339abab30cb8add26b,ark/deepseek-v3-1,1641,861,2502
01e62a23f13241339abab30cb8add26b,unknown,0,0,0
01e7c9dc88074f319ac67bba25879f1a,ark/deepseek-v3,113,1121,1234
01e7c9dc88074f319ac67bba25879f1a,unknown,0,0,0
01e841d96e1d45ef95fc7cbf39802d22,ark/deepseek-v3,552,152,704
01e841d96e1d45ef95fc7cbf39802d22,unknown,0,0,0
01ebf68993e64f7f909ba41ead971d70,ark/deepseek-v3-1,1892,1021,2913
01ebf68993e64f7f909ba41ead971d70,gpt-4.1,1062,28,1090
01ebf68993e64f7f909ba41ead971d70,unknown,0,0,0
01ecb8674130401fb14be276eaa13d5c,ark/deepseek-v3,467,91,558
01ecb8674130401fb14be276eaa13d5c,unknown,0,0,0
01f10be01ad9402f8e66bba98161e270,deepseek-chat,5965,1845,7810
01f10be01ad9402f8e66bba98161e270,gpt-4.1,3364,917,4281
01f10be01ad9402f8e66bba98161e270,unknown,0,0,0
01f94709c8ee484b8cdc4e5f3182680a,deepseek-chat,671,380,1051
01f94709c8ee484b8cdc4e5f3182680a,unknown,0,0,0
01faf9b21c16420491fe74e6b27c8d63,ark/deepseek-v3,758,124,882
01faf9b21c16420491fe74e6b27c8d63,unknown,0,0,0
01fee3b5649648d4861a431172c718e7,ark/deepseek-v3,467,96,563
01fee3b5649648d4861a431172c718e7,unknown,0,0,0
020e63a723d54563bc3be438648acaff,deepseek-chat,4492,853,5345
020e63a723d54563bc3be438648acaff,unknown,0,0,0
020fe599554047b7afe39dbc38624d03,deepseek-chat,0,0,0
020fe599554047b7afe39dbc38624d03,unknown,0,0,0
02105007dffa4dea84003baa3e3b6ea5,ark/deepseek-v3,1427,233,1660
02105007dffa4dea84003baa3e3b6ea5,unknown,0,0,0
021e88a938684983898b2b9e8c7565a6,deepseek-chat,1196,493,1689
021e88a938684983898b2b9e8c7565a6,gpt-4.1,584,45,629
021e88a938684983898b2b9e8c7565a6,unknown,0,0,0
021eaf5032634c30878216250acbd305,deepseek-chat,912,661,1573
021eaf5032634c30878216250acbd305,unknown,0,0,0
