session_id,model,input_tokens,output_tokens,total_tokens
0bdaa621d81242a38ad6df54b0320f22,unknown,0,0,0
0bdb8ffcdd2342b0b25e977dfa7e07c6,deepseek-chat,12,554,566
0bdb8ffcdd2342b0b25e977dfa7e07c6,unknown,0,0,0
0bfa3288c13242dfb95df0bc0f067188,deepseek-chat,5,15,20
0bfa3288c13242dfb95df0bc0f067188,unknown,0,0,0
0c954ab37a1e4a41a4302a7c375b745d,deepseek-chat,2444,397,2841
0c954ab37a1e4a41a4302a7c375b745d,unknown,0,0,0
0cb6845635644bb5a301667bc1f444b1,unknown,0,0,0
0cdc502b771c4b68ac25e86f610da50d,deepseek-chat,1209,371,1580
0cdc502b771c4b68ac25e86f610da50d,gpt-4.1,1649,150,1799
0cdc502b771c4b68ac25e86f610da50d,unknown,0,0,0
0d03b5fef94f45db953f458b6bc28b52,ark/deepseek-v3,465,91,556
0d03b5fef94f45db953f458b6bc28b52,unknown,0,0,0
0d217fd5689e4e93878ca49df96e2326,ark/kimi-k2,447,181,628
0d231e97fedc4f64b483f782a543102a,ark/deepseek-v3,6392,6100,12492
0d2fe972f4d34033958c05b278b92f1a,deepseek-chat,832,876,1708
0d2fe972f4d34033958c05b278b92f1a,unknown,0,0,0
0d51cb89d40843ccad3c06bf0c83f75e,deepseek-chat,609,91,700
0d51cb89d40843ccad3c06bf0c83f75e,unknown,0,0,0
0d55ad3f6903458dbbf56d75e30ded70,unknown,0,0,0
0d55c56dac054513a0474b510eec07d0,ark/deepseek-v3,465,120,585
0d8932d1b88e4e4aa9a4a26e21a48c60,unknown,0,0,0
0dd363ab52594718aa0267e43f5f3a19,ark/kimi-k2,31,22,53
0dd363ab52594718aa0267e43f5f3a19,unknown,0,0,0
0dd456e14a794df5aceb07fa443a97f6,ark/deepseek-v3,465,90,555
0dd456e14a794df5aceb07fa443a97f6,unknown,0,0,0
0de2ad53e77b4cb687bda18f33d88aa5,deepseek-chat,2822,441,3263
0de2ad53e77b4cb687bda18f33d88aa5,unknown,0,0,0
0e0a94288dac4b7398d67bf52302772b,unknown,0,0,0
0e21dd17a1d14194a2e263909f801dd1,ark/deepseek-v3,1455,213,1668
0e21dd17a1d14194a2e263909f801dd1,unknown,0,0,0
0e3d69422be24e01ae1c3553228dc489,ark/kimi-k2,31,86,117
0e3d69422be24e01ae1c3553228dc489,unknown,0,0,0
0e5448e8ed904e77932cd614c0d2dd72,ark/deepseek-v3,275,2209,2484
0e5448e8ed904e77932cd614c0d2dd72,unknown,0,0,0
0e5ff79711604d8f972c841210e336e2,deepseek-chat,4215,332,4547
0e5ff79711604d8f972c841210e336e2,unknown,0,0,0
0e65ea9d444a4795a431f751ab29bcea,ark/deepseek-v3,92,128,220
0e6ac7589de242678839179d76570bf1,deepseek-chat,4840,377,5217
0e6ac7589de242678839179d76570bf1,unknown,0,0,0
0e9459e3b5d34050820f3b58c72414e8,ark/deepseek-v3,758,98,856
0e9459e3b5d34050820f3b58c72414e8,unknown,0,0,0
0ebef54185f4451db17b4dba1acf2e11,unknown,0,0,0
0ec0e719bdeb44e0b3e37f446fd5f1ab,unknown,0,0,0
0ee0a16df4a549fa95167d3d86b96f18,ark/deepseek-v3,1176,224,1400
0ee0a16df4a549fa95167d3d86b96f18,unknown,0,0,0
0eef8eb71d25496cacb7a6fa5a444c6c,unknown,0,0,0
0ef1853cf6ee40d4b8e6c8a38bed029b,deepseek-chat,45,1338,1383
0ef1853cf6ee40d4b8e6c8a38bed029b,unknown,0,0,0
0f00b588290948fd98de775e19de1e3d,deepseek-chat,274,73,347
0f00b588290948fd98de775e19de1e3d,unknown,0,0,0
0f100c8a26bd49aa9c030c85977de11e,deepseek-chat,785,840,1625
0f100c8a26bd49aa9c030c85977de11e,unknown,0,0,0
0f21f3d22f974ba59ed2f86204866105,ark/deepseek-v3,1477,741,2218
0f21f3d22f974ba59ed2f86204866105,unknown,0,0,0
0f459ed853c446a98e159e76db60b57d,ark/deepseek-v3,92,125,217
0f4ea010ab2a459d99872cf8e391a2d7,unknown,0,0,0
0f98ac2fbe5c4973aeb3640ad3afce08,unknown,0,0,0
0fa01119dab646c288bca06b4901d01a,unknown,0,0,0
0fa25877de4d4f75b42850ddaa10cdb6,deepseek-chat,828,930,1758
0fa25877de4d4f75b42850ddaa10cdb6,unknown,0,0,0
1016fa20d93440e9b449808935809655,ark/deepseek-v3,1061,324,1385
1016fa20d93440e9b449808935809655,unknown,0,0,0
10766bd58aa742b2a3903be007731c39,ark/deepseek-v3,465,91,556
